iter	Passed	Remaining
1013	1879	16652
1014	1880	16647
1015	1882	16644
1016	1884	16642
1017	1885	16640
1018	1887	16638
1019	1889	16633
1020	1891	16630
1021	1892	16626
1022	1894	16623
1023	1896	16620
1024	1897	16618
1025	1899	16615
1026	1901	16613
1027	1903	16609
1028	1905	16611
1029	1906	16607
1030	1908	16602
1031	1909	16597
1032	1911	16592
1033	1913	16588
1034	1914	16584
1035	1916	16578
1036	1917	16575
1037	1919	16572
1038	1921	16569
1039	1922	16565
1040	1924	16563
1041	1926	16560
1042	1928	16558
1043	1929	16552
1044	1931	16549
1045	1932	16546
1046	1934	16543
1047	1936	16539
1048	1937	16535
1049	1939	16530
1050	1941	16527
1051	1942	16524
1052	1944	16520
1053	1946	16517
1054	1947	16512
1055	1949	16510
1056	1950	16505
1057	1952	16502
1058	1954	16497
1059	1955	16494
1060	1957	16491
1061	1958	16486
1062	1960	16482
1063	1962	16479
1064	1963	16476
1065	1965	16475
1066	1967	16473
1067	1969	16468
1068	1970	16463
1069	1972	16460
1070	1973	16456
1071	1975	16453
1072	1978	16456
1073	1979	16454
1074	1981	16450
1075	1983	16446
1076	1984	16444
1077	1986	16443
1078	1988	16441
1079	1990	16436
1080	1991	16432
1081	1993	16429
1082	1995	16426
1083	1996	16423
1084	1998	16419
1085	1999	16415
1086	2001	16413
1087	2003	16408
1088	2004	16405
1089	2006	16402
1090	2008	16399
1091	2009	16394
1092	2011	16391
1093	2013	16388
1094	2015	16387
1095	2016	16384
1096	2018	16381
1097	2020	16378
1098	2021	16375
1099	2023	16371
1100	2024	16365
1101	2026	16363
1102	2028	16358
1103	2029	16356
1104	2031	16352
1105	2033	16349
1106	2034	16347
1107	2036	16343
1108	2038	16339
1109	2039	16336
1110	2041	16332
1111	2043	16330
1112	2044	16326
1113	2046	16325
1114	2048	16321
1115	2049	16318
1116	2051	16314
1117	2052	16309
1118	2054	16304
1119	2055	16300
1120	2057	16298
1121	2059	16294
1122	2061	16297
1123	2063	16295
1124	2065	16293
1125	2067	16292
1126	2069	16291
1127	2071	16289
1128	2074	16297
1129	2076	16301
1130	2078	16298
1131	2084	16328
1132	2086	16328
1133	2088	16325
1134	2090	16324
1135	2091	16320
1136	2093	16317
1137	2095	16316
1138	2097	16314
1139	2098	16311
1140	2100	16305
1141	2101	16303
1142	2103	16300
1143	2105	16297
1144	2106	16294
1145	2108	16291
1146	2110	16288
1147	2111	16284
1148	2114	16289
1149	2116	16287
1150	2118	16287
1151	2120	16283
1152	2121	16280
1153	2124	16281
1154	2125	16277
1155	2127	16273
1156	2128	16268
1157	2131	16275
1158	2133	16274
1159	2135	16271
1160	2137	16274
1161	2139	16271
1162	2140	16266
1163	2142	16262
1164	2143	16258
1165	2145	16252
1166	2146	16248
